recipe_slug	rating
falafel	0.5
spamburger	0.5
bacon-fried-rice	0.0
chicken-fingers	0.25
apple-crisp	0.75
cranberry-apple-crisp	0.75
bacon-chocolate-chip-cookies	1.0
sujebi	0.5
pasta-primavera	0.5
ramen	0.5
brownies	1.0
bacon-wrapped-scallops	0.5
bacon-egg-muffins	0.5
breakfast-burritos	0.5
bolognese-sauce	0.5
croissants	0.5
bacon-souffle	0.5
souffle	0.5
chocolate-souffle	1.0
butter-croissants	0.5
pickled-green-beans	0.5
fried-oysters	0.5
peanut-butter-brownies	1.0
almond-chip-cookies	1.0
guacamole	0.5
brioche-bread	0.5
brioche-bread-with-chocolate	1.0
asparagus-quiche	0.5
asparagus-burger	0.5
ma-la-chicken	0.25
cold-noodles-with-tomatoes	0.0
tamales	0.5
enchiladas	0.5
tacos	0.5
burritos	0.5
peanut-butter-cupcakes	1.0
pickled-asparagus	0.5
chocolate-peanut-butter-cake	1.0
udon	0.5
vegetable-lasagna	0.5
maple-bacon-donuts	0.5
maple-bacon-pancakes	1.0
spinach-and-ricotta-stuffed-shells	0.0
quesadillas	0.5
pico-de-gallo	0.5
nachos	0.5
cold-soba-noodles-with-tomato-and-cucumber	0.5
fajitas	0.5
loaded-nachos	0.5
lasagna	0.5
chicken-nuggets	0.25
pain-au-chocolat	0.5
nacho-dip	0.5
nacho-salad	0.0
nacho-casserole	0.5
nacho-fries	0.5
tempura-udon	0.5
peach-crisp	0.0
apple-pie	1.0
blueberry-crisp	0.75
berry-crumble	0.75
strawberry-rhubarb-crisp	0.75
peach-cobbler	0.5
cranberry-sauce	0.75
cherry-cobbler	0.5
apple-crumble	0.75
chocolate-croissants	1.0
french-toast	0.5
chocolate-babka	1.0
cinnamon-babka	0.5
blueberry-crumble	0.75
spam-musubi	0.5
taco-salad	0.0
chiles-rellenos	0.5
almond-croissants	0.5
cranberry-relish	0.75
ma-la-beef	0.25
chocolate-cake	1.0
spinach-quiche	0.0
mushroom-quiche	0.5
quiche-lorraine	0.5
croissant-aux-amandes	0.5
danishes	0.5
spinach-and-feta-quiche	0.0
cold-sesame-noodles	0.5
soba-noodle-salad-with-peanut-dressing	0.0
dan-dan-noodles	0.5
vanilla-souffle	0.5
bacon-wrapped-dates	0.5
cherry-pie	1.0
berry-crisp	0.75
bacon-and-egg-breakfast-sandwich	0.5
bacon-wrapped-shrimp-skewers	0.5
bacon-wrapped-chicken	0.25
bacon-wrapped-asparagus	0.5
bacon-mac-and-cheese	0.5
chicken-alfredo-lasagna	0.25
classic-beef-lasagna	0.25
vegetarian-mushroom-lasagna	0.5
spinach-and-ricotta-lasagna	0.0
