question_id	question_rank	document_title	paragraph_index
1	1	Tibet	10
1	2	Old_English	1
1	3	Indigenous_peoples_of_the_Americas	37
1	4	Punjab,_Pakistan	21
1	5	Bird_migration	5
4	1	BeiDou_Navigation_Satellite_System	18
4	2	BeiDou_Navigation_Satellite_System	7
4	3	BeiDou_Navigation_Satellite_System	12
4	4	BeiDou_Navigation_Satellite_System	3
4	5	BeiDou_Navigation_Satellite_System	13
7	1	Beyoncé	39
7	2	Beyoncé	56
7	3	Slavs	34
7	4	Beyoncé	47
7	5	Pesticide	18
10	1	Roman_Republic	46
10	2	Roman_Republic	47
10	3	Roman_Republic	45
10	4	Slavs	34
10	5	Pesticide	18
13	1	Chihuahua_(state)	37
13	2	Mali	10
13	3	Rajasthan	11
13	4	American_Idol	43
13	5	American_Idol	9
16	1	Richmond,_Virginia	14
16	2	Atlantic_City,_New_Jersey	24
16	3	Oklahoma_City	11
16	4	Richmond,_Virginia	31
16	5	Richmond,_Virginia	32
19	1	Xbox_360	10
19	2	Xbox_360	12
19	3	Xbox_360	25
19	4	Xbox_360	1
19	5	Xbox_360	5
22	1	Neptune	26
22	2	Neptune	28
22	3	Neptune	15
22	4	Neptune	13
22	5	Neptune	18
25	1	Asphalt	30
25	2	Slavs	34
25	3	Pesticide	18
25	4	Galicia_(Spain)	24
25	5	Nutrition	10
28	1	New_Delhi	50
28	2	New_Delhi	49
28	3	New_Delhi	46
28	4	Hyderabad	6
28	5	New_Delhi	10
31	1	Slavs	34
31	2	Pesticide	18
31	3	Punjab,_Pakistan	21
31	4	Bird_migration	5
31	5	Symbiosis	8
34	1	New_York_City	33
34	2	New_York_City	107
34	3	New_York_City	140
34	4	The_Times	50
34	5	New_York_City	11
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	23
37	3	Federal_Bureau_of_Investigation	22
37	4	Federal_Bureau_of_Investigation	31
37	5	Federal_Bureau_of_Investigation	19
40	1	Slavs	34
40	2	Pesticide	18
40	3	Chihuahua_(state)	7
40	4	Catalan_language	69
40	5	Institute_of_technology	9
43	1	Institute_of_technology	26
43	2	Pub	6
43	3	University	24
43	4	Heresy	27
43	5	Slavs	34
46	1	Richard_Feynman	30
46	2	Richard_Feynman	8
46	3	Punjab,_Pakistan	21
46	4	Richard_Feynman	16
46	5	Richard_Feynman	1
49	1	Pub	24
49	2	Pub	29
49	3	Pesticide	18
49	4	Pub	60
49	5	Slavs	34
52	1	BeiDou_Navigation_Satellite_System	18
52	2	BeiDou_Navigation_Satellite_System	1
52	3	BeiDou_Navigation_Satellite_System	12
52	4	BeiDou_Navigation_Satellite_System	7
52	5	BeiDou_Navigation_Satellite_System	33
55	1	Punjab,_Pakistan	21
55	2	Universal_Studios	12
55	3	Universal_Studios	37
55	4	Slavs	34
55	5	Frédéric_Chopin	42
58	1	Slavs	34
58	2	Pesticide	18
58	3	Institute_of_technology	9
58	4	Punjab,_Pakistan	21
58	5	Galicia_(Spain)	24
61	1	Gramophone_record	29
61	2	Gramophone_record	28
61	3	Gramophone_record	19
61	4	Gramophone_record	21
61	5	Gramophone_record	34
64	1	Russian_Soviet_Federative_Socialist_Republic	20
64	2	Russian_Soviet_Federative_Socialist_Republic	17
64	3	Tajikistan	13
64	4	Russian_Soviet_Federative_Socialist_Republic	25
64	5	Russian_Soviet_Federative_Socialist_Republic	16
67	1	Pesticide	18
67	2	Slavs	34
67	3	Punjab,_Pakistan	21
67	4	Galicia_(Spain)	24
67	5	Symbiosis	8
70	1	Modern_history	17
70	2	Slavs	34
70	3	Greeks	34
70	4	Pesticide	18
70	5	Bird_migration	5
73	1	Slavs	34
73	2	Pesticide	18
73	3	Bird_migration	5
73	4	Symbiosis	8
73	5	Galicia_(Spain)	24
76	1	Miami	41
76	2	London	48
76	3	Film_speed	2
76	4	Internet_service_provider	9
76	5	Printed_circuit_board	6
79	1	Pesticide	18
79	2	Slavs	34
79	3	Symbiosis	8
79	4	Punjab,_Pakistan	21
79	5	Bird_migration	5
82	1	Slavs	34
82	2	Pesticide	18
82	3	Alps	17
82	4	Greeks	34
82	5	Institute_of_technology	9
85	1	Aspirated_consonant	14
85	2	Slavs	34
85	3	Greeks	34
85	4	Iranian_languages	13
85	5	Computer	44
88	1	Slavs	34
88	2	Pesticide	18
88	3	Punjab,_Pakistan	21
88	4	Institute_of_technology	9
88	5	Bird_migration	5
91	1	Political_corruption	34
91	2	Pesticide	18
91	3	Slavs	34
91	4	Galicia_(Spain)	24
91	5	Apollo	9
94	1	Oklahoma	37
94	2	Southern_Europe	21
94	3	Greece	58
94	4	Serbo-Croatian	20
94	5	Sumer	16
97	1	Slavs	34
97	2	Infection	6
97	3	Pharmaceutical_industry	18
97	4	Pesticide	18
97	5	Diarrhea	14
100	1	Sino-Tibetan_relations_during_the_Ming_dynasty	4
